series,capacity_ton,star,model,mrp,nlc
Highest Efficiency,1.0,5,FTKF35XV16,66900,49700
Highest Efficiency,1.5,5,FTKF50XV16,89800,69080
Highest Efficiency,1.8,5,FTKF60XV16,110700,89310
Waizu,1.0,5,JTKJ35XV16,62400,46200
Waizu,1.5,5,JTKJ53XV16,77200,59150
Waizu,1.8,5,JTKJ60XV16,96300,75190
Wifi,1.0,5,FTKR35XV16,58500,43040
Wifi,1.5,5,FTKR50XV16,71000,53940
Wifi,1.8,5,FTKR60XV16,94200,72800
Premium,1.0,5,FTKM35XV16,55900,41540
Premium,1.5,5,FTKM50XV16,68200,51660
Premium,1.5,5,FTKM53XV16,71600,54690
Premium,1.8,5,FTKM60XV16,91300,70530
Standard,1.0,5,FTKU35XV16,53900,40500
Standard,1.2,5,FTKU42XV16,59000,44310
Standard,1.5,5,FTKU50XV16,65800,49190
Standard,1.5,4,FTKP50XV16,60000,41980
Standard,1.5,4,FTXF50XV16,85600,65890
Hot & Cold,1.0,3,FTHT35XV16,51500,37480
Hot & Cold,1.5,3,FTHT50XV16,61600,43920
Hot & Cold,1.8,3,FTHT60XV16,72200,55170
Hot & Cold,2.0,3,FTHT71XV16,86600,66200
Wifi,1.0,3,FTKN35XV16,51100,36910
Wifi,1.5,3,FTKN50XV16,58200,41070
Premium,1.0,3,FTKL35XV16,48500,34980
Premium,1.5,3,FTKL50XV16,56100,39490
Premium,1.8,3,FTKL60XV16,68700,51650
Premium,2.0,3,FTKL71XV16,82500,63050
Premium,2.6,3,FTKL90XV16,121000,89170
Standard,1.0,3,FTKC35XV16,47800,34460
Standard,1.4,3,FTKC48XV16,53600,36820
Standard,1.5,3,FTKC50XV16,54400,38270
Standard Non Inverter,0.8,2,FTQ28XV16,36000,26760
Standard Non Inverter,0.9,2,FTQ30XV16,36600,27130
Standard Non Inverter,1.0,2,FTQ35XV16,45400,33250
Standard Non Inverter,1.5,2,FTQ50XV16,55900,40100
