series,capacity_ton,star,model,mrp,nlc,type,compressor
Sumo 5700XXL,1.5,5,RAS.Y519PCDISL,84990,48929,Split,Inverter
Sumo 3700XXL,1.5,3,RAS.Y319PCDISL,73990,39713,Split,Inverter
Sumo 3700XXL,2.0,3,RAS.Y324PCDISL,83990,51863,Split,Inverter
Sumo 5600XXL,1.5,5,RAS.X519PCDIBT,81990,47314,Split,Inverter
Sumo 3600XXL,1.5,3,RAS.X319PCDIBT,70990,37758,Split,Inverter
Yoshi 5600WTXL,1.5,5,RAS.X518PCDISM1,81990,45087,Split,Inverter
Yoshi 5500STXL,1.0,5,RAS.V512PCDIST,66990,37315,Split,Inverter
Yoshi 5500STXL,1.5,5,RAS.V518PCDIST,78990,43990,Split,Inverter
Yoshi 5500STXL,2.0,4,RAS.V522PCBISH1,91200,54580,Split,Inverter
Izen 3500XLHP,1.5,3,RAS.G318PHDIST,71990,40525,Split,Inverter
Izen 4400XLHP,1.5,4,RAS.G418PHDIST,76990,44367,Split,Inverter
Shizen 4100XHP,2.0,3,RMRG422HFX0,87500,56989,Split,Inverter
Izen 3600WTXL,1.5,3,RAS.V318PCDISM1,69990,37232,Split,Inverter
Izen 3500STXL,1.5,3,RAS.D318PCD2ST,65990,35713,Split,Inverter
Izen 3500STXL,1.5,3,RAS.V318PCDIST,66990,36409,Split,Inverter
Izen 3500STXL,2.0,3,RAS.V322PCDIST,76990,48096,Split,Inverter
Izen 3400SXL,1.0,3,RAS.G312PCDISS,56990,31320,Split,Inverter
Toushi Plus 5400SXL,1.0,5,RAS.E512PCDIB,63990,35492,Split,Inverter
Toushi Plus 5500STXL,1.5,5,RAS.V518PCDIBT1,77990,42924,Split,Inverter
Toushi Plus 3500STXL,1.5,3,RAS.E318PCDIBT,64990,35002,Split,Inverter
Toushi Plus 3400SXL,1.5,3,RAS.D318PCD2BS2,62990,34355,Split,Inverter
Toushi Plus 3400SXL,1.0,3,RAS.E312PCDIB,54990,29791,Split,Inverter
Toushi Plus 3400SXL,2.0,3,RAS.E322PCDIB,73990,46700,Split,Inverter
Shizuka,1.5,3,RAW318HIEO,44990,33752,Window,Inverter
Shizuka,1.5,5,RAW518HIEO,52990,39240,Window,Inverter
Senpai 3200FL,1.0,2,RAS.B312PCAIBA1,50700,31589,Split,Fixed Speed
Senpai 3200FL,1.5,2,RAS.B318PCAIBA1,58800,37403,Split,Fixed Speed
Senpai 2200FL,2.0,1,RAS.B222PCAIBA1,67300,45966,Split,Fixed Speed
