series,capacity_ton,star,model,mrp,nlc,type,compressor
GR Tropical,1.0,4,MSY-GR13VFT,60020,47056,Split,Inverter
GR Tropical,1.5,4,MSY-GR18VFT,75040,58831,Split,Inverter
GR Tropical,1.9,4,MSY-GR22VFT,85180,66781,Split,Inverter
GR,1.5,4,MSY-GR18VF,66370,52034,Split,Inverter
GR,1.9,4,MSY-GR22VF,75510,59200,Split,Inverter
JS,1.0,2,MSY-JS13VF,47020,36864,Split,Inverter
JS,1.5,2,MSY-JS18VF,59280,46476,Split,Inverter
JS,1.9,2,MSY-JS22VF,67300,52763,Split,Inverter
JX,1.0,2,MSY-JX13VF,45630,35774,Split,Inverter
JX,1.5,2,MSY-JX18VF,57610,45166,Split,Inverter
JX,1.9,2,MSY-JX22VF,65360,51242,Split,Inverter
RJS,1.0,2,MSY-RJS13VF,48860,38306,Split,Inverter
RJS,1.5,2,MSY-RJS18VF,62040,48639,Split,Inverter
RJS,1.9,2,MSY-RJS22VF,70710,55437,Split,Inverter
RJX,1.0,2,MSY-RJX13VF,47940,37585,Split,Inverter
HP,1.0,1,MSZ-HP13VA,54200,42493,Split,Inverter
HP,2.0,2,MSZ-HP24VA,89520,70184,Split,Inverter
GK,2.0,1,MS-GK24VA,81420,65429,Split,Fixed Speed
GZ,1.0,5,MSY-GZ13VF-DA1,58650,45903,Split,Inverter
GZ,1.5,5,MSY-GZ18VF-DA1,73000,57232,Split,Inverter
GZ,1.9,5,MSY-GZ22VF-DA1,83100,65150,Split,Inverter
GZ,2.2,4,MSY-GZ26VF-DA1,106500,83496,Split,Inverter
